word	vol_lv	count
ADULT ANALGESICS	3	2980
RTD COCKTAILS 750ML PLUS <=42P	2	127
FABRIC SOFTENER SHEETS	3	1671
TOMATOES GRAPE	3	2526
VARIETY BEANS - KIDNEY PINTO	4	7268
NATURAL CHEESE EXACT WT SLICES	4	4252
MEXICAN SEASONING MIXES	4	3600
CHUCK/SHOULDER	2	102
MUSHROOMS CND & GLASS	3	2487
CHILI: CANNED	4	3855
CANDY BAGS-CHOCOCLATE	4	5123
CUCUMBERS	4	5772
ANGUS	3	1862
BETTER FOR YOU	3	2794
ENGLISH MUFFINS/WAFFLES	3	2366
DISPOSABLE FD STORAGE CONTAINR	3	1145
CHIX: ROTISSERIE (HOT)	3	1968
GUM (PACKAGED)	3	1414
MEXICAN SAUCESSALSAPICANTEE	4	6143
BANDANA/SCARVES	2	266
BREAST - BONELESS(IQF)	4	3297
TOMATOES VINE RIPE BULK	4	3680
BROCCOLI WHOLE&CROWNS	4	3626
NOODLES DRY	4	6057
FRZN GARLIC BREAD/TOAST/STICKS	4	5644
RAWHIDE CHEWS	3	989
MISC SALES TRANS	3	1506
REFRIGERATED BAGELS	3	1177
VEG JUICE (EXCEPT TOMATO) (OVE	3	1706
SOY/RICE MILK	3	1387
SW GDS: BROWNIE/BAR COOKIE	3	348
REFRIGERATED COOKIES-CHUB	3	2778
GASOLINE-REG UNLEADED	2	178
INSTORE CUT FRUIT	4	4021
SV BEV: BEV/JUICE 50-100% JUIC	2	262
SOUPS	3	412
PREMIUM PINTS	4	3569
WHOLE CHICKEN (ROASTERS/FRYER)	3	1666
SALAD BAR FRESH FRUIT	4	6735
VINEGAR WINE/RICE	2	289
CHICKEN THIGHS	3	1345
CAKES: NOVELTIES	3	1292
TUNA	4	7279
KRAUT & CABBAGE	3	784
SUGAR	4	9372
GARLIC JAR	3	459
GREENS	3	1471
PINEAPPLE WEDGE/SLICED/CHUNKS	2	34
NON-CARB FLVRD DRNKNG/MNRL WAT	4	3245
BREAD:SAVORY/SPECIALTY	3	1870
LIMES	3	1646
CARBONATED WATER - FLVRD UNSWE	2	290
SAL:OLIVES/PICKLES-BULK	2	265
CHICKEN BREAST BONELESS	4	6526
MACARONI DRY	4	4373
MINTS CANDY & BREATH (NOT LIF	3	2126
PRIMAL	4	12765
PEARS BOSC	2	199
PLUMS	3	1627
PEARS ANJOU	3	927
SOUP/STEW	3	1560
GRAPES WHITE	4	4347
BUTTER	4	5138
FLOUR: MISC SPECIALTY BLEND	3	459
COOKING CHOCOLATE (EX SMI-SWT)	3	443
SPARKLING WINES	3	405
PUDDINGS DRY	3	2678
MARGARINE: SQUEEZE	3	409
LAYER CAKE MIX	4	4457
APPLES GOLD DELICIOUS (BULK&BA	3	2218
POTATOES: DRY	4	3990
MARGARINE: TUBS AND BOWLS	4	9408
HAIR SETS AND GELS	3	1384
TRAY PACK/CHOC CHIP COOKIES	4	4544
AIR CARE - CONTINUOUS ACTION	3	1855
SALLY HANSEN	3	344
TOOTHPASTE	4	4870
FEM YEAST TREATMENTS	2	137
HAIR BARRETTES TAILERS	3	592
STRAWBERRIES	4	7403
MANDARIN ORANGES/CITRUS SECT	3	1757
CABBAGE	3	2297
BUTTS	3	506
SOCIAL&LIFESTYLE-MAGAZINE	3	913
FEM. HYGN.NAPKINS	3	2776
